,Alle almene boliger,,,Familieboliger,,
I-alt,594.551,927,"3,1%",508.448,902,"3,1%"
Albertslund,7.518,1.016,"2,8%",6.357,1.004,"2,8%"
Allerød,1.89,1.057,"3,6%",1.575,1.009,"3,6%"
Assens,2.013,891,"4,2%",1.69,863,"4,6%"
Ballerup,13.298,967,"2,9%",12.418,955,"3,0%"
Billund,2.672,811,"4,1%",2.377,797,"4,2%"
Bornholm,2.512,906,"3,3%",2.124,880,"2,9%"
Brøndby,10.138,931,"2,6%",10.035,928,"2,7%"
Brønderslev,2.392,814,"2,4%",2.056,784,"2,5%"
Dragør,944,1.029,"3,5%",916,1.023,"3,4%"
Egedal,2.73,1.19,"1,8%",2.289,1.16,"1,8%"
Esbjerg,15.349,780,"3,9%",13.72,766,"3,7%"
Fanø,193,982,"5,6%",133,913,"5,1%"
Favrskov,2.128,990,"4,1%",1.758,951,"4,0%"
Faxe,2.428,1,"3,6%",1.963,957,"3,5%"
Fredensborg,5.201,1.007,"3,3%",4.596,969,"3,4%"
Fredericia,7.151,812,"4,1%",6.816,803,"4,0%"
Frederiksberg,5.668,1.06,"3,5%",4.14,996,"3,3%"
Frederikshavn,7.731,807,"2,2%",6.585,759,"2,2%"
Frederikssund,3.307,1.007,"3,0%",3.034,992,"3,0%"
Furesø,5.045,1.032,"2,4%",4.633,1.011,"2,2%"
Faaborg-Midtfyn,2.868,908,"2,5%",2.039,855,"2,8%"
Gentofte,1.638,1.083,"4,7%",1.281,1.01,"4,9%"
Gladsaxe,11.787,965,"3,2%",11.494,962,"3,2%"
Glostrup,4.51,952,"2,6%",4.324,942,"2,5%"
Greve,6.105,959,"2,6%",5.528,950,"2,5%"
Gribskov,1.484,1.221,"3,5%",922,1.108,"3,1%"
Guldborgsund,5.069,816,"2,3%",4.159,784,"2,3%"
Haderslev,5.662,849,"4,3%",4.762,817,"4,3%"
Halsnæs,2.278,1.035,"3,4%",1.896,982,"3,4%"
Hedensted,2.25,931,"3,0%",1.236,832,"2,5%"
Helsingør,8.61,1.099,"6,1%",7.709,1.068,"6,0%"
Herlev,7.572,992,"2,6%",7.22,984,"2,7%"
Herning,7.923,790,"3,4%",6.305,758,"3,3%"
Hillerød,4.295,1.083,"2,5%",3.255,1.012,"2,4%"
Hjørring,4.562,765,"1,3%",3.905,743,"1,2%"
Holbæk,7.305,971,"3,5%",6.43,947,"3,4%"
Holstebro,5.524,854,"4,1%",4.549,832,"4,1%"
Horsens,7.969,866,"1,5%",6.837,842,"1,4%"
Hvidovre,9.855,1.033,"3,3%",9.256,1.021,"3,3%"
Høje-Taastrup,6.09,978,"2,0%",5.759,963,"1,9%"
Hørsholm,2.444,1.121,"4,5%",1.775,1.057,"4,5%"
Ikast-Brande,2.828,786,"4,5%",2.399,751,"4,5%"
Ishøj,5.002,910,"2,0%",4.601,913,"2,1%"
Jammerbugt,1.723,925,"2,7%",1.231,902,"2,3%"
Kalundborg,4.084,882,"2,3%",3.492,846,"2,2%"
Kerteminde,1.555,863,"3,5%",1.451,858,"2,9%"
Kolding,10.126,863,"2,4%",7.942,834,"2,3%"
København,64.581,1.051,"3,2%",52.9,1.012,"2,8%"
Køge,7.896,1,"2,2%",7.391,991,"2,2%"
Langeland,724,845,"2,9%",567,811,"3,0%"
Lejre,932,1.116,"2,1%",861,1.099,"2,2%"
Lemvig,769,801,"3,8%",664,771,"3,8%"
Lolland,3.807,819,"2,4%",3.308,777,"2,0%"
Lyngby-Taarbæk,6.189,1.091,"3,8%",5.418,1.047,"3,6%"
Læsø,64,862,"1,5%",64,862,"1,5%"
Mariagerfjord,2.022,846,"3,5%",1.713,822,"3,7%"
Middelfart,2.538,849,"2,5%",2.304,843,"2,8%"
Morsø,1.132,764,"6,1%",934,751,"5,8%"
Norddjurs,2.545,816,"3,4%",2.173,804,"3,7%"
Nordfyns,1.297,891,"4,1%",1.021,852,"4,2%"
Nyborg,2.809,870,"1,9%",2.408,847,"1,8%"
Næstved,6.582,934,"2,6%",5.722,917,"2,7%"
Odder,1.992,934,"2,9%",1.889,926,"3,1%"
Odense,26.037,810,"4,1%",22.305,795,"4,2%"
Odsherred,1.733,930,"4,1%",1.287,871,"4,1%"
Randers,8.816,791,"2,1%",8.406,781,"2,2%"
Rebild,1.112,906,"2,5%",878,864,"1,8%"
Ringkøbing-Skjern,3.29,856,"4,0%",2.645,820,"4,2%"
Ringsted,3.34,955,"3,4%",2.828,906,"3,3%"
Roskilde,9.424,1.18,"2,2%",7.658,1.159,"2,0%"
Rudersdal,4.284,1.039,"2,9%",3.93,1.016,"2,9%"
Rødovre,8.532,972,"3,1%",8.414,971,"3,1%"
Samsø,103,954,"5,1%",79,905,"6,0%"
Silkeborg,8.517,880,"2,8%",7.588,865,"2,7%"
Skanderborg,3.415,901,"2,2%",2.855,868,"1,8%"
Skive,3.747,861,"3,5%",2.913,816,"3,8%"
Slagelse,10.024,886,"2,1%",8.535,848,"1,9%"
Solrød,1.526,1.01,"3,0%",1.447,1,"3,4%"
Sorø,2.104,927,"5,1%",1.822,903,"5,0%"
Stevns,727,1.081,"1,5%",522,975,"2,4%"
Struer,1.669,787,"4,0%",1.602,781,"4,0%"
Svendborg,5,896,"3,5%",3.762,858,"3,5%"
Syddjurs,2.268,918,"3,3%",1.901,887,"3,1%"
Sønderborg,9.421,738,"3,1%",8.772,727,"3,0%"
Thisted,2.119,748,"2,0%",1.899,737,"2,1%"
Tønder,2.407,783,"3,7%",2.021,748,"3,7%"
Tårnby,7.687,915,"4,3%",7.571,911,"4,4%"
Vallensbæk,527,1.04,"3,9%",515,1.041,"3,9%"
Varde,3.591,835,"4,2%",3,810,"4,1%"
Vejen,3.085,779,"4,4%",2.636,758,"4,6%"
Vejle,10.957,880,"5,3%",9.401,860,"5,4%"
Vesthimmerlands,1.913,855,"3,8%",1.67,842,"3,3%"
Viborg,8.627,853,"2,6%",7.108,826,"2,5%"
Vordingborg,3.686,913,"5,4%",3.016,872,"6,1%"
Ærø,478,1.061,"2,0%",175,882,"2,4%"
Aabenraa,5.772,800,"2,8%",5.175,782,"3,0%"
Aalborg,32.117,882,"2,6%",23.033,843,"2,7%"
Aarhus,49.191,948,"3,7%",40.77,927,"3,7%"
