"Disposable family income by income interval, family type, unit, region"
"and time"

" "," "," "," ","2024"
"Total"
" ","Families, total"
" "," ","Average income for families in the group (DKK)"
" "," "," ","Copenhagen",418327
" "," "," ","Frederiksberg",501557
" "," "," ","Dragør",658859
" "," "," ","Tårnby",491958
" "," "," ","Albertslund",396974
" "," "," ","Ballerup",456764
" "," "," ","Brøndby",395240
" "," "," ","Gentofte",941219
" "," "," ","Gladsaxe",496766
" "," "," ","Glostrup",435277
" "," "," ","Herlev",465904
" "," "," ","Hvidovre",455828
" "," "," ","Høje-Taastrup",434644
" "," "," ","Ishøj",398118
" "," "," ","Lyngby-Taarbæk",639879
" "," "," ","Rødovre",444025
" "," "," ","Vallensbæk",506525
" "," "," ","Allerød",657545
" "," "," ","Egedal",570275
" "," "," ","Fredensborg",576473
" "," "," ","Frederikssund",466593
" "," "," ","Furesø",643347
" "," "," ","Gribskov",476460
" "," "," ","Halsnæs",426684
" "," "," ","Helsingør",497854
" "," "," ","Hillerød",530009
" "," "," ","Hørsholm",758304
" "," "," ","Rudersdal",919884
" "," "," ","Bornholm",378067
" "," "," ","Greve",525357
" "," "," ","Køge",480197
" "," "," ","Lejre",527387
" "," "," ","Roskilde",534625
" "," "," ","Solrød",591720
" "," "," ","Faxe",424764
" "," "," ","Guldborgsund",379509
" "," "," ","Holbæk",452029
" "," "," ","Kalundborg",433552
" "," "," ","Lolland",356527
" "," "," ","Næstved",421404
" "," "," ","Odsherred",386189
" "," "," ","Ringsted",449727
" "," "," ","Slagelse",402246
" "," "," ","Sorø",452076
" "," "," ","Stevns",458300
" "," "," ","Vordingborg",391390
" "," "," ","Assens",420124
" "," "," ","Faaborg-Midtfyn",422791
" "," "," ","Kerteminde",440352
" "," "," ","Langeland",350437
" "," "," ","Middelfart",481989
" "," "," ","Nordfyns",421132
" "," "," ","Nyborg",415332
" "," "," ","Odense",394326
" "," "," ","Svendborg",422118
" "," "," ","Ærø",348281
" "," "," ","Billund",479183
" "," "," ","Esbjerg",440595
" "," "," ","Fanø",444715
" "," "," ","Fredericia",428750
" "," "," ","Haderslev",406562
" "," "," ","Kolding",451407
" "," "," ","Sønderborg",413284
" "," "," ","Tønder",404584
" "," "," ","Varde",453218
" "," "," ","Vejen",604102
" "," "," ","Vejle",483890
" "," "," ","Aabenraa",424499
" "," "," ","Favrskov",508930
" "," "," ","Hedensted",475802
" "," "," ","Horsens",440312
" "," "," ","Norddjurs",391348
" "," "," ","Odder",470995
" "," "," ","Randers",410722
" "," "," ","Samsø",374237
" "," "," ","Silkeborg",490775
" "," "," ","Skanderborg",550531
" "," "," ","Syddjurs",453021
" "," "," ","Aarhus",421279
" "," "," ","Herning",453452
" "," "," ","Holstebro",446229
" "," "," ","Ikast-Brande",444014
" "," "," ","Lemvig",455531
" "," "," ","Ringkøbing-Skjern",456920
" "," "," ","Skive",423991
" "," "," ","Struer",419298
" "," "," ","Viborg",443426
" "," "," ","Brønderslev",429222
" "," "," ","Frederikshavn",412554
" "," "," ","Hjørring",416201
" "," "," ","Jammerbugt",423113
" "," "," ","Læsø",358063
" "," "," ","Mariagerfjord",430526
" "," "," ","Morsø",399611
" "," "," ","Rebild",514521
" "," "," ","Thisted",416392
" "," "," ","Vesthimmerlands",413011
" "," "," ","Aalborg",411326

".. No informations for discretion reasons "

