muni_key,muni_name,rent_family_dkk_m2,rent_all_dkk_m2,income_dkk,tax_rate_pct,property_price_dkk_m2,earnings_residence_dkk,earnings_workplace_dkk,earnings_net_work_minus_res_dkk
albertslund,Albertslund,1004.0,1016.0,396974.0,25.6,26117.5,47528.0,50354.0,2826.0
allerd,Allerød,1009.0,1057.0,657545.0,25.3,28501.5,63562.0,55608.0,-7954.0
assens,Assens,863.0,891.0,420124.0,26.1,,46637.0,44994.0,-1643.0
ballerup,Ballerup,955.0,967.0,456764.0,25.5,32404.0,53404.0,61600.0,8196.0
billund,Billund,797.0,811.0,479183.0,24.0,,49545.0,58855.0,9310.0
bornholm,Bornholm,880.0,906.0,378067.0,26.2,16778.5,43550.0,42932.0,-618.0
brndby,Brøndby,928.0,931.0,395240.0,24.3,30786.0,46544.0,53687.0,7143.0
brnderslev,Brønderslev,784.0,814.0,429222.0,26.3,,45908.0,43803.0,-2105.0
dragr,Dragør,1023.0,1029.0,658859.0,24.8,39163.0,64427.0,44416.0,-20011.0
egedal,Egedal,1160.0,1190.0,570275.0,25.7,26393.5,56626.0,51969.0,-4657.0
esbjerg,Esbjerg,766.0,780.0,440595.0,25.8,,47283.0,48241.0,958.0
fan,Fanø,913.0,982.0,444715.0,25.77,,49685.0,39863.0,-9822.0
favrskov,Favrskov,951.0,990.0,508930.0,25.7,,51065.0,46695.0,-4370.0
faxe,Faxe,957.0,,424764.0,25.8,12602.0,47628.0,45065.0,-2563.0
fredensborg,Fredensborg,969.0,1007.0,576473.0,25.3,26060.0,56876.0,51790.0,-5086.0
fredericia,Fredericia,803.0,812.0,428750.0,25.5,,49175.0,52937.0,3762.0
frederiksberg,Frederiksberg,996.0,1060.0,501557.0,24.57,68253.5,59317.0,51524.0,-7793.0
frederikshavn,Frederikshavn,759.0,807.0,412554.0,26.2,,45625.0,45005.0,-620.0
frederikssund,Frederikssund,992.0,1007.0,466593.0,25.8,22380.0,52484.0,47128.0,-5356.0
fures,Furesø,1011.0,1032.0,643347.0,24.88,33116.0,64276.0,50233.0,-14043.0
faaborg midtfyn,Faaborg-Midtfyn,855.0,908.0,422791.0,26.1,,46471.0,44450.0,-2021.0
gentofte,Gentofte,1010.0,1083.0,941219.0,24.34,54662.5,72290.0,62236.0,-10054.0
gladsaxe,Gladsaxe,962.0,965.0,496766.0,23.6,38202.5,56626.0,62920.0,6294.0
glostrup,Glostrup,942.0,952.0,435277.0,24.6,31201.0,51251.0,51149.0,-102.0
greve,Greve,950.0,959.0,525357.0,24.52,29822.0,54584.0,45991.0,-8593.0
gribskov,Gribskov,1108.0,1221.0,476460.0,25.4,24158.0,51509.0,44186.0,-7323.0
guldborgsund,Guldborgsund,784.0,816.0,379509.0,25.8,,45182.0,44207.0,-975.0
haderslev,Haderslev,817.0,849.0,406562.0,26.3,,45769.0,43397.0,-2372.0
halsns,Halsnæs,982.0,1035.0,426684.0,25.7,19300.5,48645.0,45075.0,-3570.0
hedensted,Hedensted,832.0,931.0,475802.0,25.52,,47354.0,45800.0,-1554.0
helsingr,Helsingør,1068.0,1099.0,497854.0,25.52,26998.0,54026.0,46129.0,-7897.0
herlev,Herlev,984.0,992.0,465904.0,23.7,34407.0,52254.0,52461.0,207.0
herning,Herning,758.0,790.0,453452.0,25.4,,46852.0,46109.0,-743.0
hillerd,Hillerød,1012.0,1083.0,530009.0,25.6,28125.5,55937.0,54051.0,-1886.0
hjrring,Hjørring,743.0,765.0,416201.0,26.21,,45175.0,44802.0,-373.0
holbk,Holbæk,947.0,971.0,452029.0,25.3,,49763.0,45965.0,-3798.0
holstebro,Holstebro,832.0,854.0,446229.0,25.5,,46302.0,45418.0,-884.0
horsens,Horsens,842.0,866.0,440312.0,25.69,,48274.0,47043.0,-1231.0
hvidovre,Hvidovre,1021.0,1033.0,455828.0,25.4,34429.5,52190.0,51489.0,-701.0
hje taastrup,Høje-Taastrup,963.0,978.0,434644.0,24.6,26453.5,48424.0,53883.0,5459.0
hrsholm,Hørsholm,1057.0,1121.0,758304.0,23.7,38169.5,69324.0,52862.0,-16462.0
ikast brande,Ikast-Brande,751.0,786.0,444014.0,25.1,,46884.0,50739.0,3855.0
ishj,Ishøj,913.0,910.0,398118.0,25.0,26220.0,45740.0,47931.0,2191.0
jammerbugt,Jammerbugt,902.0,925.0,423113.0,25.7,,45678.0,41949.0,-3729.0
kalundborg,Kalundborg,846.0,882.0,433552.0,24.2,,51251.0,55207.0,3956.0
kerteminde,Kerteminde,858.0,863.0,440352.0,26.1,,48166.0,47695.0,-471.0
kolding,Kolding,834.0,863.0,451407.0,25.5,,49448.0,49220.0,-228.0
kbenhavn,København,1012.0,1051.0,418327.0,23.6,53325.0,53753.0,56913.0,3160.0
